Cluster,Access to water,Access to electricity,Acess to cellphone,Education completed,Wealth Index Factor Score,hiv blood test result,latitude,longitude
331967,265,3.0,27.0,30.0,-1.27927,0,27.63130816,81.95824747
331979,665,46.0,53.0,93.0,-0.51448,0,25.222940899999998,82.75841679999999
331981,420,33.0,31.0,46.0,-0.70182,0,27.038520399999996,79.26281696
331984,310,26.0,26.0,47.0,0.78605,0,27.88472533,78.06554767
331993,130,10.0,11.0,10.0,-1.2089,0,26.208368,83.15885214
332001,205,11.0,30.0,101.0,-0.94568,0,26.1640677,82.87125261
332002,1230,31.0,64.0,134.0,-1.39675,0,25.89579347,80.87506012
332022,120,13.0,19.0,28.0,-0.70862,0,27.28499451,79.18630306
332036,430,29.0,44.0,41.0,-0.84627,0,27.41505136,78.71978317
332037,970,46.0,45.0,93.0,0.234,0,25.48419711,78.41798284
332047,0,7.0,7.0,14.0,-0.42417,0,27.142779200000003,78.40269242
332048,760,0.0,22.0,63.0,-1.48864,0,27.05645299,80.61241302
332056,645,70.0,70.0,63.0,-0.24985,0,26.03925295,79.40345187
332063,0,9.0,9.0,2.0,0.51995,0,28.62464018,78.81094254
332068,430,32.0,38.0,42.0,-0.15184,0,25.62878284,82.91765009
332074,830,52.0,61.0,41.0,-0.8957,0,25.59149022,79.48758961
332076,730,35.0,49.0,88.0,0.03625,0,27.19427029,80.03798354
332078,1360,44.0,56.0,112.0,-1.11368,0,27.16543784,78.47414026
332082,30,5.0,5.0,0.0,1.27209,0,28.43835134,78.78760167
332088,845,72.0,83.0,136.0,-1.06073,0,26.70401964,79.10877792
332103,185,24.0,35.0,58.0,-1.0187,0,26.53293457,82.3071759
332104,350,27.0,27.0,86.0,-0.65635,0,27.62217086,77.94127383
332116,760,28.0,28.0,3.0,0.44805,0,25.45712579,78.56651405
332120,70,0.0,10.0,0.0,-1.59518,0,27.35596524,81.95247892
332125,195,17.0,17.0,19.0,0.91783,0,28.57045821,77.55596656
332129,305,0.0,39.0,54.0,-1.44313,0,27.76346821,80.54060707
332132,40,8.0,8.0,34.0,0.12961,0,25.89466212,83.34928423
332135,910,22.0,56.0,112.0,-1.25532,0,26.39895321,79.54840316
332136,130,10.0,10.0,3.0,-1.29409,0,28.72058281,77.75583678
332144,80,4.0,16.0,16.0,-1.22661,0,27.05266731,83.76857824
332157,475,55.0,48.0,85.0,0.0709,0,27.2167364,78.19110079999999
332160,635,45.0,58.0,85.0,-0.95799,0,26.55957805,79.40384151
332165,25,5.0,5.0,17.0,-0.44404,0,26.11128527,83.8547383
332169,805,33.0,73.0,62.0,-0.91403,0,26.93667722,80.24382334
332170,1195,77.0,67.0,50.0,-1.27732,0,24.98081843,80.86039102
