,id,max_light,min_light,mean_light,median_light,std_light,Cluster,Access to water,Access to electricity,Acess to cellphone,Education completed,Wealth Index Factor Score,hiv blood test result,latitude,longitude,geometry
5770,291366.0,0.0,0.0,0.0,0.0,0.0,291366,640,14.0,38.0,64.0,-1.52726,0,25.53854999,71.35440914,POINT (71.35440914 25.53854999)
5771,291370.0,63.0,17.0,41.72,42.5,16.496108632038045,291370,140,14.0,14.0,10.0,0.01347,1,27.63168805,75.14056644,POINT (75.14056644 27.63168805)
5772,291382.0,48.0,9.0,18.66,16.0,8.751251339094313,291382,2285,96.0,109.0,193.0,0.25943,0,28.045240000000003,75.78245888,POINT (75.78245888 28.045240000000003)
5773,291384.0,12.0,7.0,9.73,10.0,1.3330791424367872,291384,1780,54.0,54.0,83.0,-0.42001,0,27.01571038,76.35107168,POINT (76.35107168 27.01571038)
5774,291409.0,22.0,0.0,11.36,11.0,5.290595429627936,291409,840,77.0,81.0,167.0,-0.59046,0,26.29800044,76.77363398,POINT (76.77363398 26.29800044)
5775,291411.0,0.0,0.0,0.0,0.0,0.0,291411,1180,32.0,57.0,67.0,-1.40201,0,24.80915692,71.18745975,POINT (71.18745975 24.80915692)
5776,291412.0,0.0,0.0,0.0,0.0,0.0,291412,1360,30.0,39.0,23.0,-0.32436,0,26.91936816,71.3760694,POINT (71.3760694 26.91936816)
5777,291413.0,22.0,6.0,9.48,9.0,2.930801938036755,291413,2280,65.0,61.0,62.0,-0.21029,0,24.81875445,76.66332241,POINT (76.66332241 24.81875445)
5778,291418.0,43.0,5.0,17.54,15.0,9.558681917503062,291418,1325,38.0,49.0,87.0,0.32806,0,27.22430359,76.6104962,POINT (76.6104962 27.22430359)
5779,291423.0,0.0,0.0,0.0,0.0,0.0,291423,2725,44.0,69.0,158.0,-1.01451,0,25.40944222,71.26466273,POINT (71.26466273 25.40944222)
5780,291424.0,15.0,5.0,8.45,9.0,2.06579282601136,291424,185,3.0,10.0,6.0,-1.39147,0,29.29030409,73.65856464,POINT (73.65856464 29.29030409)
5781,291433.0,27.0,12.0,15.21,14.0,2.515134191251035,291433,1930,70.0,68.0,150.0,0.43061,0,26.79979325,75.95565909,POINT (75.95565909 26.79979325)
5782,291434.0,10.0,0.0,2.03,0.0,3.2076627004721057,291434,7710,68.0,98.0,100.0,-0.93692,0,26.60375262,70.70552432,POINT (70.70552432 26.60375262)
5783,291437.0,8.0,0.0,2.13,0.0,3.0648164708510692,291437,2805,76.0,51.0,125.0,-1.22271,0,25.50799304,75.79887907,POINT (75.79887907 25.50799304)
5784,291438.0,27.0,0.0,10.23,8.5,6.276710922131112,291438,210,30.0,30.0,44.0,0.26396,0,25.34491713,73.32433018,POINT (73.32433018 25.34491713)
5785,291443.0,23.0,6.0,11.38,9.0,4.451471666763701,291443,895,34.0,34.0,52.0,0.22618,0,26.68279582,75.79348185,POINT (75.79348185 26.68279582)
5786,291445.0,7.0,0.0,0.87,0.0,2.0816099538578308,291445,2660,32.0,67.0,117.0,-1.3207,0,23.65500663,73.77498267,POINT (73.77498267 23.65500663)
5787,291455.0,60.0,0.0,24.6,18.5,16.657130605239306,291455,2495,92.0,103.0,84.0,-0.60821,0,26.50877354,76.73635107,POINT (76.73635107 26.50877354)
5788,291456.0,14.0,6.0,9.02,9.0,1.8054362353736007,291456,2475,110.0,110.0,204.0,0.318615,0,27.20869862,77.60465375,POINT (77.60465375 27.20869862)
5789,291458.0,14.0,0.0,5.81,6.0,3.841080577129306,291458,1710,37.0,51.0,64.0,-1.4759,0,23.20883826,74.43200514,POINT (74.43200514 23.20883826)
5790,291459.0,55.0,12.0,27.73,26.0,11.243535920696834,291459,120,4.0,4.0,20.0,0.98109,0,27.0435401,76.57973939,POINT (76.57973939 27.0435401)
